mfpt_threshold,tF,tU,rho_spear_abs,n
0.28,0.25,0.63,0.50738592843856,38
0.3,0.25,0.63,0.41306488674909725,38
0.32,0.25,0.79,0.48769011926906664,38
0.34,0.25,0.79,0.5266440529598424,38
0.36,0.29,0.68,0.5564066090381881,38
0.38,0.25,0.68,0.5275194222562642,38
0.4,0.25,0.68,0.5861691651165336,38
0.42,0.25,0.68,0.5113250902724588,38
0.44,0.25,0.68,0.5634095634095634,38
0.46,0.25,0.68,0.6441623810044863,38
0.48,0.25,0.68,0.6052084473137104,38
0.5,0.22,0.68,0.6266549950760478,38
