RMSD (nm),F(kJ/mol)
0.011071459999999998,21.072023498664485
0.019496268888888887,14.574084297867643
0.027921077777777775,9.441672341788436
0.03634588666666666,5.591662564074614
0.04477069555555555,2.9128050024201855
0.05319550444444444,1.2555534159653376
0.06162031333333333,0.4076547972830369
0.07004512222222223,0.07753500336978902
0.07846993111111111,0.0
0.08689474,0.18119229600243614
0.09531954888888888,0.8846646810250789
0.10374435777777777,2.331090648420947
0.11216916666666665,4.52579248992194
0.12059397555555554,7.196737472096242
0.12901878444444445,9.786544765945365
0.13744359333333334,11.766520119665131
0.14586840222222222,13.014190682405161
0.1542932111111111,13.648602515823761
0.16271802,13.79563132641
0.17114282888888888,13.580411227187845
0.17956763777777776,13.194070757891819
0.18799244666666667,12.766482681384197
0.19641725555555556,12.321370568944523
0.20484206444444444,11.85189339184782
0.21326687333333333,11.366549302038216
0.2216916822222222,10.890362018633667
0.2301164911111111,10.442254280868735
0.23854129999999998,10.033443838451355
0.2469661088888889,9.668760722518638
0.2553909177777778,9.349704487743516
0.26381572666666664,9.06384408084526
0.2722405355555555,8.777801313908974
0.2806653444444444,8.50612675189949
0.2890901533333333,8.308076844067216
0.2975149622222222,8.189348432666765
0.3059397711111111,8.097785055360486
0.31436457999999995,7.994834015722219
0.32278938888888886,7.894569407695638
0.3312141977777777,7.839941138380706
0.33963900666666663,7.831131189734329
0.3480638155555555,7.831814963273672
0.3564886244444444,7.833661315390174
0.3649134333333333,7.843933616082804
0.37333824222222217,7.844265244806639
0.3817630511111111,7.797462745618077
0.39018785999999994,7.698148416041814
0.39861266888888885,7.5899510542780675
0.4070374777777777,7.52573907554822
0.4154622866666666,7.527503625745169
0.42388709555555554,7.579664961676151
0.4323119044444444,7.655968847838391
0.4407367133333333,7.72738248845274
0.44916152222222216,7.763823140641907
0.4575863311111111,7.762907840226305
0.46601113999999993,7.743415673473628
0.47443594888888885,7.731251989121709
0.48286075777777776,7.743750923179569
0.4912855666666666,7.779647915466878
0.49971037555555553,7.835211135149301
0.5081351844444444,7.912315409558687
0.5165599933333334,8.015436742003633
0.5249848022222222,8.144407200260652
0.5334096111111111,8.285839652731685
0.54183442,8.421902499784153
0.5502592288888889,8.553295785354049
0.5586840377777778,8.693707902804992
0.5671088466666667,8.853242894273894
0.5755336555555556,9.03320156064277
0.5839584644444444,9.222585132086216
0.5923832733333333,9.412870622078042
0.6008080822222223,9.592708834622844
0.6092328911111111,9.745508120475396
0.6176577,9.886605951697938
0.6260825088888889,10.050223636561096
0.6345073177777778,10.228185763199011
0.6429321266666667,10.407273880769882
0.6513569355555555,10.605499525601122
0.6597817444444445,10.831336752501137
0.6682065533333333,11.070966948559853
0.6766313622222222,11.329437675247114
0.6850561711111111,11.627096972068227
0.69348098,11.975956430354884
0.7019057888888889,12.382919217790363
0.7103305977777777,12.824782676860565
0.7187554066666667,13.284315354387878
0.7271802155555556,13.776656017264486
0.7356050244444444,14.326945628918075
0.7440298333333333,14.924650251313654
0.7524546422222222,15.538098662611215
0.7608794511111111,16.2100573629161
0.76930426,17.006866204257722
0.7777290688888889,17.97612168584052
0.7861538777777778,19.158453250800317
0.7945786866666666,20.566578346812797
0.8030034955555555,22.195743212972822
0.8114283044444445,24.062695268437103
0.8198531133333333,26.247924699112005
0.8282779222222222,28.874094863735976
0.8367027311111112,32.127025967130876
0.84512754,36.37661119755105
