RMSD (nm),F(kJ/mol)
0.00548508,26.194704636434587
0.014126492525252525,17.05624132818043
0.02276790505050505,10.188198944088352
0.03140931757575757,5.369203309880213
0.040050730101010096,2.3179134687636704
0.04869214262626262,0.6716960127917204
0.057333555151515156,0.007955809055772534
0.06597496767676768,0.0
0.0746163802020202,0.5602857537176007
0.08325779272727273,1.7347530549946342
0.09189920525252525,3.4963635971117135
0.10054061777777777,5.640019658135586
0.10918203030303031,7.801896179790749
0.11782344282828283,9.719352680885898
0.12646485535353535,11.361905371429255
0.13510626787878788,12.518339578801204
0.1437476804040404,12.967073727359594
0.15238909292929292,12.862892306693926
0.16103050545454545,12.426095598311704
0.16967191797979797,11.86423764698192
0.1783133305050505,11.399342824683771
0.18695474303030302,11.037909957936616
0.19559615555555554,10.595562015497446
0.20423756808080806,10.032400135274298
0.2128789806060606,9.52723677884979
0.22152039313131314,9.143408774315272
0.23016180565656566,8.812476527583886
0.23880321818181818,8.42632617061999
0.2474446307070707,7.918673471980945
0.2560860432323232,7.265149484070989
0.2647274557575757,6.455991767142422
0.27336886828282825,5.608089490180198
0.28201028080808077,4.9868446627139775
0.2906516933333333,4.791103539161497
0.2992931058585858,4.946209446663726
0.30793451838383834,5.17323746298683
0.31657593090909086,5.292478821298719
0.3252173434343434,5.309055487536149
0.3338587559595959,5.300723069256701
0.34250016848484843,5.292733183322465
0.35114158101010096,5.266627622400197
0.3597829935353535,5.245160346286163
0.368424406060606,5.2422202584284605
0.3770658185858585,5.218181106959378
0.38570723111111105,5.142585563078196
0.39434864363636357,5.052527505331845
0.4029900561616161,5.002740489423861
0.4116314686868686,4.992553877560649
0.4202728812121212,5.008584283075006
0.4289142937373737,5.048812409304695
0.43755570626262624,5.093859538246136
0.44619711878787877,5.116242636139916
0.4548385313131313,5.118998309846958
0.4634799438383838,5.128915203538494
0.47212135636363634,5.158600747643391
0.48076276888888886,5.214224787920813
0.4894041814141414,5.294774614072388
0.4980455939393939,5.404274036794856
0.5066870064646465,5.54547658456918
0.515328418989899,5.70927756634034
0.5239698315151515,5.880174490222199
0.532611244040404,6.073545714385315
0.5412526565656566,6.294030464038244
0.5498940690909091,6.50420085905419
0.5585354816161616,6.700224992442781
0.5671768941414141,6.898051095021106
0.5758183066666667,7.110496317712439
0.5844597191919192,7.360765805372303
0.5931011317171717,7.6409670882872085
0.6017425442424242,7.932759576027323
0.6103839567676768,8.232471282253567
0.6190253692929293,8.525374509182427
0.6276667818181818,8.818764681604723
0.6363081943434343,9.130675863720192
0.6449496068686869,9.468081047598417
0.6535910193939394,9.784818539028052
0.6622324319191919,10.079119768249633
0.6708738444444444,10.362788247552125
0.679515256969697,10.664334829095178
0.6881566694949495,11.038008504038757
0.696798082020202,11.458636918156316
0.7054394945454545,11.847672558053006
0.714080907070707,12.241838119780809
0.7227223195959596,12.698854392985783
0.7313637321212121,13.22359912988762
0.7400051446464646,13.817543726657536
0.7486465571717171,14.43745316829185
0.7572879696969697,14.978427862450449
0.7659293822222222,15.494515212759001
0.7745707947474747,16.246344556448584
0.7832122072727272,17.263819042438758
0.7918536197979797,18.365404131233007
0.8004950323232323,19.709940193178504
0.8091364448484848,21.454950671938775
0.8177778573737373,23.588201491877882
0.8264192698989898,26.336503506979092
0.8350606824242425,29.09846609856188
0.843702094949495,31.891857727691292
0.8523435074747475,35.36309875639001
0.8609849199999999,40.601356005169684
