RMSD (nm),F(kJ/mol)
0.00875484,18.324761789587594
0.017542398787878787,12.036823756203837
0.026329957575757575,7.301184408928179
0.03511751636363636,4.0107059193718975
0.04390507515151515,2.0231357034361466
0.05269263393939394,1.1225978554499463
0.061480192727272724,0.9478419569102527
0.07026775151515151,0.945600608208764
0.0790553103030303,0.6630486308876087
0.08784286909090909,0.21846242015084272
0.09663042787878788,0.0
0.10541798666666666,0.23053630875506315
0.11420554545454545,0.9633428529456651
0.12299310424242424,2.162237221365153
0.131780663030303,3.738582132021655
0.1405682218181818,5.563603224162172
0.14935578060606058,7.387087983696031
0.15814333939393938,8.66642964922238
0.16693089818181817,9.10643282257341
0.17571845696969696,9.16848072639732
0.18450601575757575,9.111563794040794
0.19329357454545454,8.81974875619565
0.20208113333333333,8.272589226325717
0.21086869212121212,7.616635736862563
0.2196562509090909,7.007252458617934
0.2284438096969697,6.54566907649496
0.2372313684848485,6.232137393835686
0.24601892727272728,5.98602845757533
0.254806486060606,5.75543805429724
0.2635940448484848,5.536945952061355
0.2723816036363636,5.318663172904284
0.2811691624242424,5.079709024521865
0.2899567212121212,4.834861145820774
0.29874428,4.618492986602888
0.30753183878787876,4.4535629521188085
0.31631939757575755,4.348473983141581
0.32510695636363635,4.2771914564505344
0.33389451515151514,4.217439346209968
0.3426820739393939,4.193569241890263
0.3514696327272727,4.218678184205359
0.3602571915151515,4.2642806623274225
0.36904475030303024,4.304081889445758
0.37783230909090904,4.335511921805924
0.3866198678787878,4.369402830601469
0.3954074266666666,4.4120543203901015
0.4041949854545454,4.449147231729036
0.4129825442424242,4.455743332340109
0.421770103030303,4.4330675915051145
0.4305576618181818,4.40665837431645
0.43934522060606057,4.390690327406187
0.44813277939393936,4.381118048551926
0.45692033818181815,4.376174502365249
0.46570789696969694,4.378077684141992
0.47449545575757573,4.375786250179335
0.4832830145454545,4.356662430941455
0.4920705733333333,4.330108067680982
0.5008581321212121,4.30667914113387
0.509645690909091,4.284757021207472
0.5184332496969697,4.2621322091877865
0.5272208084848485,4.245975390682762
0.5360083672727273,4.243436387786122
0.5447959260606061,4.260348518269247
0.5535834848484849,4.3005329880272996
0.5623710436363637,4.359313164980584
0.5711586024242424,4.436772778458806
0.5799461612121212,4.531815577020232
0.58873372,4.631649873865772
0.5975212787878788,4.7358106803850575
0.6063088375757576,4.852642879258134
0.6150963963636363,4.9870689305841935
0.6238839551515152,5.145927986205965
0.6326715139393939,5.325813406082368
0.6414590727272728,5.525859253428084
0.6502466315151515,5.748036923479255
0.6590341903030303,5.988882801419312
0.6678217490909091,6.253363107974259
0.6766093078787879,6.539662205222541
0.6853968666666667,6.844775004070094
0.6941844254545455,7.184025449505125
0.7029719842424242,7.561536621931705
0.7117595430303031,7.95506367852056
0.7205471018181818,8.341927341591415
0.7293346606060606,8.747323493204874
0.7381222193939394,9.229403434579215
0.7469097781818181,9.79135412849671
0.755697336969697,10.38530561134618
0.7644848957575757,11.007677487812586
0.7732724545454546,11.699106519761841
0.7820600133333333,12.493189303363607
0.7908475721212122,13.442735005735166
0.7996351309090909,14.595853571101436
0.8084226896969697,15.955574074333338
0.8172102484848485,17.47574927936734
0.8259978072727273,19.18532197951466
0.834785366060606,21.26987073231375
0.8435729248484849,23.743922514902554
0.8523604836363636,26.444654642376225
0.8611480424242424,29.371059952649098
0.8699356012121212,32.714225646071306
0.8787231600000001,36.9312656235186
